MemId,Name,Family,Region,ImageUrl,IsClarified
11180,علی اصغر عنابستانی,,سبزوار، جغتای، جوین، خوشاب و داورزن,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11180,f
11181,مهدی عیسی زاده,,میاندوآب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11181,f
11182,موسی غضنفرآبادی,,بم، ریگان، فهرج و نرماشیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11182,f
11183,ملک فاضلی,,سراوان ، سیب، سوران و مهرستان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11183,f
11184,محسن فتحی,,سنندج، دیواندره و کامیاران,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11184,f
11185,رسول فرخی میکال,,لاهیجان و سیاهکل,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11185,f
11186,ولی اله فرزانه,,نور و محمودآباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11186,f
11187,سیدمهدی فرشادان,,سنندج، دیواندره و کامیاران,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11187,f
11189,محمدحسین فرهنگی,,تبریز، آذرشهر و اسکو,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11189,f
11188,محمدمهدی فروردین,,فیروزآباد، فراشبند و قیرو کارزین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11188,f
11190,احمدحسین فلاحی,,همدان و فامنین,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11190,f
11191,سارا فلاحی,,ایلام، ایوان، چرداول، مهران، ملکشاهی و شیروان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11191,f
11192,حجت اله فیروزی,,فسا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11192,f
11193,رحمت اله فیروزی پوربادی,,نطنز و بخش قمصر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11193,f
11194,جعفر قادری,,شیراز و زرقان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11194,f
11195,فاطمه قاسم پور,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11195,f
11196,شیوا قاسمی پور,,مریوان و سروآباد,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11196,f
11197,سیداحسان قاضی زاده هاشمی,,فریمان، سرخس، بخشهای احمد آباد و رضویه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11197,f
11198,سیدامیرحسین قاضی زاده هاشمی (مستعفی),,مشهد و کلات,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11198,f
11199,محمدباقر قالیباف,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11199,f
11209,عباس گلرو,,سمنان، مهدیشهر و سرخه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11209,f
11210,مهرداد گودرزوندچگینی,,رودبار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11210,f
11211,حسین گودرزی,,دورود و ازنا,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11211,f
